,text,notes,date
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0100
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0100
https://slate.com/news-and-politics/2020/08/kamala-harris-birther-birthright-citizenship-claremont.html,"The Racist “Scholars” Pushing the Kamala Harris Birther Lie
      

          Mark Joseph Stern",,20200817-0100
https://slate.com/human-interest/2020/08/how-to-help-marginalized-students-school-year.html,"This Year Will Be a Nightmare for Marginalized Students
      

          Brandon Hersey",,20200817-0100
https://slate.com/human-interest/2020/08/daughter-sees-no-friends-care-and-feeding.html,"My Child Has Not Seen Any Friends in Five Months. Should I Be Worried?
      

          Care and Feeding",,20200817-0100
https://slate.com/culture/2020/08/coloring-books-history-coronavirus.html,"There’s a Sinister Reason Coloring Books Are So Popular in Quarantine
      

          Emanuele Lugli",,20200817-0100
https://slate.com/news-and-politics/2020/08/trump-coronavirus-deaths-timeline.html,"How Trump Killed Tens of Thousands of Americans
      

          William Saletan",,20200817-0100
https://slate.com/culture/2020/08/night-they-drove-old-dixie-down-band-confederate.html,"Is “The Night They Drove Old Dixie Down” Really a Pro-Confederate Anthem?
      

          Jack Hamilton",,20200817-0100
https://slate.com/news-and-politics/2020/08/trump-military-civil-military-coup.html,"It’s Not the Military’s Job to Remove Trump From Office if He Won’t Leave
      

          Fred Kaplan",,20200817-0100
https://slate.com/news-and-politics/2020/08/dnc-convention-2020-joe-biden-kamala-harris.html,"What to Watch for at the Bizarro Democratic National Convention
      

          Jim Newell",,20200817-0130
https://slate.com/news-and-politics/2020/08/democrats-postal-leaders-urgent-hearing.html,"Democrats Demand Postal Leaders Explain Mail Delays at Urgent Hearing
      

          Daniel Politi",,20200817-0130
https://slate.com/news-and-politics/2020/08/wisconsin-dnc-voter-suppression.html,"The Most Important Thing Democrats Could Do for Wisconsin Isn’t a Convention
      

          Mark Joseph Stern",,20200817-0130
https://slate.com/news-and-politics/2020/08/ed-markeys-incomprehensibly-thrilling-2020-election-ad.html,"The Most Incomprehensibly Thrilling Ad of the 2020 Election So Far
      

          Lili Loofbourow",,20200817-0130
https://slate.com/human-interest/2020/08/secession-disunion-america-kreitner.html,"Why America Was Built to Fall Apart
      

          Rebecca Onion",,20200817-0130
https://slate.com/news-and-politics/2020/08/robert-trump-president-donald-younger-brother-dies.html,"Robert Trump, Donald Trump’s Younger Brother, Dies at 71
      

          Daniel Politi",,20200817-0130
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0130
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0130
https://slate.com/news-and-politics/2020/08/kamala-harris-birther-birthright-citizenship-claremont.html,"The Racist “Scholars” Pushing the Kamala Harris Birther Lie
      

          Mark Joseph Stern",,20200817-0130
https://slate.com/human-interest/2020/08/how-to-help-marginalized-students-school-year.html,"This Year Will Be a Nightmare for Marginalized Students
      

          Brandon Hersey",,20200817-0130
https://slate.com/human-interest/2020/08/daughter-sees-no-friends-care-and-feeding.html,"My Child Has Not Seen Any Friends in Five Months. Should I Be Worried?
      

          Care and Feeding",,20200817-0130
https://slate.com/culture/2020/08/coloring-books-history-coronavirus.html,"There’s a Sinister Reason Coloring Books Are So Popular in Quarantine
      

          Emanuele Lugli",,20200817-0130
https://slate.com/news-and-politics/2020/08/trump-coronavirus-deaths-timeline.html,"How Trump Killed Tens of Thousands of Americans
      

          William Saletan",,20200817-0130
https://slate.com/culture/2020/08/night-they-drove-old-dixie-down-band-confederate.html,"Is “The Night They Drove Old Dixie Down” Really a Pro-Confederate Anthem?
      

          Jack Hamilton",,20200817-0130
https://slate.com/news-and-politics/2020/08/trump-military-civil-military-coup.html,"It’s Not the Military’s Job to Remove Trump From Office if He Won’t Leave
      

          Fred Kaplan",,20200817-0130
https://slate.com/news-and-politics/2020/08/dnc-convention-2020-joe-biden-kamala-harris.html,"What to Watch for at the Bizarro Democratic National Convention
      

          Jim Newell",,20200817-0200
https://slate.com/news-and-politics/2020/08/democrats-postal-leaders-urgent-hearing.html,"Democrats Demand Postal Leaders Explain Mail Delays at Urgent Hearing
      

          Daniel Politi",,20200817-0200
https://slate.com/news-and-politics/2020/08/wisconsin-dnc-voter-suppression.html,"The Most Important Thing Democrats Could Do for Wisconsin Isn’t a Convention
      

          Mark Joseph Stern",,20200817-0200
https://slate.com/news-and-politics/2020/08/ed-markeys-incomprehensibly-thrilling-2020-election-ad.html,"The Most Incomprehensibly Thrilling Ad of the 2020 Election So Far
      

          Lili Loofbourow",,20200817-0200
https://slate.com/human-interest/2020/08/secession-disunion-america-kreitner.html,"Why America Was Built to Fall Apart
      

          Rebecca Onion",,20200817-0200
https://slate.com/news-and-politics/2020/08/robert-trump-president-donald-younger-brother-dies.html,"Robert Trump, Donald Trump’s Younger Brother, Dies at 71
      

          Daniel Politi",,20200817-0200
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0200
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0200
https://slate.com/news-and-politics/2020/08/kamala-harris-birther-birthright-citizenship-claremont.html,"The Racist “Scholars” Pushing the Kamala Harris Birther Lie
      

          Mark Joseph Stern",,20200817-0200
https://slate.com/human-interest/2020/08/how-to-help-marginalized-students-school-year.html,"This Year Will Be a Nightmare for Marginalized Students
      

          Brandon Hersey",,20200817-0200
https://slate.com/human-interest/2020/08/daughter-sees-no-friends-care-and-feeding.html,"My Child Has Not Seen Any Friends in Five Months. Should I Be Worried?
      

          Care and Feeding",,20200817-0200
https://slate.com/culture/2020/08/coloring-books-history-coronavirus.html,"There’s a Sinister Reason Coloring Books Are So Popular in Quarantine
      

          Emanuele Lugli",,20200817-0200
https://slate.com/news-and-politics/2020/08/trump-coronavirus-deaths-timeline.html,"How Trump Killed Tens of Thousands of Americans
      

          William Saletan",,20200817-0200
https://slate.com/culture/2020/08/night-they-drove-old-dixie-down-band-confederate.html,"Is “The Night They Drove Old Dixie Down” Really a Pro-Confederate Anthem?
      

          Jack Hamilton",,20200817-0200
https://slate.com/news-and-politics/2020/08/trump-military-civil-military-coup.html,"It’s Not the Military’s Job to Remove Trump From Office if He Won’t Leave
      

          Fred Kaplan",,20200817-0200
https://slate.com/news-and-politics/2020/08/dnc-convention-2020-joe-biden-kamala-harris.html,"What to Watch for at the Bizarro Democratic National Convention
      

          Jim Newell",,20200817-0230
https://slate.com/news-and-politics/2020/08/democrats-postal-leaders-urgent-hearing.html,"Democrats Demand Postal Leaders Explain Mail Delays at Urgent Hearing
      

          Daniel Politi",,20200817-0230
https://slate.com/news-and-politics/2020/08/wisconsin-dnc-voter-suppression.html,"The Most Important Thing Democrats Could Do for Wisconsin Isn’t a Convention
      

          Mark Joseph Stern",,20200817-0230
https://slate.com/news-and-politics/2020/08/ed-markeys-incomprehensibly-thrilling-2020-election-ad.html,"The Most Incomprehensibly Thrilling Ad of the 2020 Election So Far
      

          Lili Loofbourow",,20200817-0230
https://slate.com/human-interest/2020/08/secession-disunion-america-kreitner.html,"Why America Was Built to Fall Apart
      

          Rebecca Onion",,20200817-0230
https://slate.com/news-and-politics/2020/08/robert-trump-president-donald-younger-brother-dies.html,"Robert Trump, Donald Trump’s Younger Brother, Dies at 71
      

          Daniel Politi",,20200817-0230
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0230
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0230
https://slate.com/news-and-politics/2020/08/kamala-harris-birther-birthright-citizenship-claremont.html,"The Racist “Scholars” Pushing the Kamala Harris Birther Lie
      

          Mark Joseph Stern",,20200817-0230
https://slate.com/human-interest/2020/08/how-to-help-marginalized-students-school-year.html,"This Year Will Be a Nightmare for Marginalized Students
      

          Brandon Hersey",,20200817-0230
https://slate.com/human-interest/2020/08/daughter-sees-no-friends-care-and-feeding.html,"My Child Has Not Seen Any Friends in Five Months. Should I Be Worried?
      

          Care and Feeding",,20200817-0230
https://slate.com/culture/2020/08/coloring-books-history-coronavirus.html,"There’s a Sinister Reason Coloring Books Are So Popular in Quarantine
      

          Emanuele Lugli",,20200817-0230
https://slate.com/news-and-politics/2020/08/trump-coronavirus-deaths-timeline.html,"How Trump Killed Tens of Thousands of Americans
      

          William Saletan",,20200817-0230
https://slate.com/culture/2020/08/night-they-drove-old-dixie-down-band-confederate.html,"Is “The Night They Drove Old Dixie Down” Really a Pro-Confederate Anthem?
      

          Jack Hamilton",,20200817-0230
https://slate.com/news-and-politics/2020/08/trump-military-civil-military-coup.html,"It’s Not the Military’s Job to Remove Trump From Office if He Won’t Leave
      

          Fred Kaplan",,20200817-0230
https://slate.com/news-and-politics/2020/08/dnc-convention-2020-joe-biden-kamala-harris.html,"What to Watch for at the Bizarro Democratic National Convention
      

          Jim Newell",,20200817-0300
https://slate.com/news-and-politics/2020/08/democrats-postal-leaders-urgent-hearing.html,"Democrats Demand Postal Leaders Explain Mail Delays at Urgent Hearing
      

          Daniel Politi",,20200817-0300
https://slate.com/news-and-politics/2020/08/wisconsin-dnc-voter-suppression.html,"The Most Important Thing Democrats Could Do for Wisconsin Isn’t a Convention
      

          Mark Joseph Stern",,20200817-0300
https://slate.com/news-and-politics/2020/08/ed-markeys-incomprehensibly-thrilling-2020-election-ad.html,"The Most Incomprehensibly Thrilling Ad of the 2020 Election So Far
      

          Lili Loofbourow",,20200817-0300
https://slate.com/human-interest/2020/08/secession-disunion-america-kreitner.html,"Why America Was Built to Fall Apart
      

          Rebecca Onion",,20200817-0300
https://slate.com/news-and-politics/2020/08/robert-trump-president-donald-younger-brother-dies.html,"Robert Trump, Donald Trump’s Younger Brother, Dies at 71
      

          Daniel Politi",,20200817-0300
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0300
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0300
https://slate.com/news-and-politics/2020/08/kamala-harris-birther-birthright-citizenship-claremont.html,"The Racist “Scholars” Pushing the Kamala Harris Birther Lie
      

          Mark Joseph Stern",,20200817-0300
https://slate.com/human-interest/2020/08/how-to-help-marginalized-students-school-year.html,"This Year Will Be a Nightmare for Marginalized Students
      

          Brandon Hersey",,20200817-0300
https://slate.com/human-interest/2020/08/daughter-sees-no-friends-care-and-feeding.html,"My Child Has Not Seen Any Friends in Five Months. Should I Be Worried?
      

          Care and Feeding",,20200817-0300
https://slate.com/culture/2020/08/coloring-books-history-coronavirus.html,"There’s a Sinister Reason Coloring Books Are So Popular in Quarantine
      

          Emanuele Lugli",,20200817-0300
https://slate.com/news-and-politics/2020/08/trump-coronavirus-deaths-timeline.html,"How Trump Killed Tens of Thousands of Americans
      

          William Saletan",,20200817-0300
https://slate.com/culture/2020/08/night-they-drove-old-dixie-down-band-confederate.html,"Is “The Night They Drove Old Dixie Down” Really a Pro-Confederate Anthem?
      

          Jack Hamilton",,20200817-0300
https://slate.com/news-and-politics/2020/08/trump-military-civil-military-coup.html,"It’s Not the Military’s Job to Remove Trump From Office if He Won’t Leave
      

          Fred Kaplan",,20200817-0300
https://slate.com/news-and-politics/2020/08/dnc-convention-2020-joe-biden-kamala-harris.html,"What to Watch for at the Bizarro Democratic National Convention
      

          Jim Newell",,20200817-0330
https://slate.com/news-and-politics/2020/08/democrats-postal-leaders-urgent-hearing.html,"Democrats Demand Postal Leaders Explain Mail Delays at Urgent Hearing
      

          Daniel Politi",,20200817-0330
https://slate.com/news-and-politics/2020/08/wisconsin-dnc-voter-suppression.html,"The Most Important Thing Democrats Could Do for Wisconsin Isn’t a Convention
      

          Mark Joseph Stern",,20200817-0330
https://slate.com/news-and-politics/2020/08/ed-markeys-incomprehensibly-thrilling-2020-election-ad.html,"The Most Incomprehensibly Thrilling Ad of the 2020 Election So Far
      

          Lili Loofbourow",,20200817-0330
https://slate.com/human-interest/2020/08/secession-disunion-america-kreitner.html,"Why America Was Built to Fall Apart
      

          Rebecca Onion",,20200817-0330
https://slate.com/news-and-politics/2020/08/robert-trump-president-donald-younger-brother-dies.html,"Robert Trump, Donald Trump’s Younger Brother, Dies at 71
      

          Daniel Politi",,20200817-0330
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0330
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0330
https://slate.com/news-and-politics/2020/08/kamala-harris-birther-birthright-citizenship-claremont.html,"The Racist “Scholars” Pushing the Kamala Harris Birther Lie
      

          Mark Joseph Stern",,20200817-0330
https://slate.com/human-interest/2020/08/how-to-help-marginalized-students-school-year.html,"This Year Will Be a Nightmare for Marginalized Students
      

          Brandon Hersey",,20200817-0330
https://slate.com/human-interest/2020/08/daughter-sees-no-friends-care-and-feeding.html,"My Child Has Not Seen Any Friends in Five Months. Should I Be Worried?
      

          Care and Feeding",,20200817-0330
https://slate.com/culture/2020/08/coloring-books-history-coronavirus.html,"There’s a Sinister Reason Coloring Books Are So Popular in Quarantine
      

          Emanuele Lugli",,20200817-0330
https://slate.com/news-and-politics/2020/08/trump-coronavirus-deaths-timeline.html,"How Trump Killed Tens of Thousands of Americans
      

          William Saletan",,20200817-0330
https://slate.com/culture/2020/08/night-they-drove-old-dixie-down-band-confederate.html,"Is “The Night They Drove Old Dixie Down” Really a Pro-Confederate Anthem?
      

          Jack Hamilton",,20200817-0330
https://slate.com/news-and-politics/2020/08/trump-military-civil-military-coup.html,"It’s Not the Military’s Job to Remove Trump From Office if He Won’t Leave
      

          Fred Kaplan",,20200817-0330
https://slate.com/news-and-politics/2020/08/dnc-convention-2020-joe-biden-kamala-harris.html,"What to Watch for at the Bizarro Democratic National Convention
      

          Jim Newell",,20200817-0400
https://slate.com/news-and-politics/2020/08/democrats-postal-leaders-urgent-hearing.html,"Democrats Demand Postal Leaders Explain Mail Delays at Urgent Hearing
      

          Daniel Politi",,20200817-0400
https://slate.com/news-and-politics/2020/08/wisconsin-dnc-voter-suppression.html,"The Most Important Thing Democrats Could Do for Wisconsin Isn’t a Convention
      

          Mark Joseph Stern",,20200817-0400
https://slate.com/news-and-politics/2020/08/ed-markeys-incomprehensibly-thrilling-2020-election-ad.html,"The Most Incomprehensibly Thrilling Ad of the 2020 Election So Far
      

          Lili Loofbourow",,20200817-0400
https://slate.com/human-interest/2020/08/secession-disunion-america-kreitner.html,"Why America Was Built to Fall Apart
      

          Rebecca Onion",,20200817-0400
https://slate.com/news-and-politics/2020/08/robert-trump-president-donald-younger-brother-dies.html,"Robert Trump, Donald Trump’s Younger Brother, Dies at 71
      

          Daniel Politi",,20200817-0400
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0400
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0400
https://slate.com/news-and-politics/2020/08/kamala-harris-birther-birthright-citizenship-claremont.html,"The Racist “Scholars” Pushing the Kamala Harris Birther Lie
      

          Mark Joseph Stern",,20200817-0400
https://slate.com/human-interest/2020/08/how-to-help-marginalized-students-school-year.html,"This Year Will Be a Nightmare for Marginalized Students
      

          Brandon Hersey",,20200817-0400
https://slate.com/human-interest/2020/08/daughter-sees-no-friends-care-and-feeding.html,"My Child Has Not Seen Any Friends in Five Months. Should I Be Worried?
      

          Care and Feeding",,20200817-0400
https://slate.com/culture/2020/08/coloring-books-history-coronavirus.html,"There’s a Sinister Reason Coloring Books Are So Popular in Quarantine
      

          Emanuele Lugli",,20200817-0400
https://slate.com/news-and-politics/2020/08/trump-coronavirus-deaths-timeline.html,"How Trump Killed Tens of Thousands of Americans
      

          William Saletan",,20200817-0400
https://slate.com/culture/2020/08/night-they-drove-old-dixie-down-band-confederate.html,"Is “The Night They Drove Old Dixie Down” Really a Pro-Confederate Anthem?
      

          Jack Hamilton",,20200817-0400
https://slate.com/news-and-politics/2020/08/trump-military-civil-military-coup.html,"It’s Not the Military’s Job to Remove Trump From Office if He Won’t Leave
      

          Fred Kaplan",,20200817-0400
https://slate.com/news-and-politics/2020/08/dnc-convention-2020-joe-biden-kamala-harris.html,"What to Watch for at the Bizarro Democratic National Convention
      

          Jim Newell",,20200817-0430
https://slate.com/news-and-politics/2020/08/democrats-postal-leaders-urgent-hearing.html,"Democrats Demand Postal Leaders Explain Mail Delays at Urgent Hearing
      

          Daniel Politi",,20200817-0430
https://slate.com/news-and-politics/2020/08/wisconsin-dnc-voter-suppression.html,"The Most Important Thing Democrats Could Do for Wisconsin Isn’t a Convention
      

          Mark Joseph Stern",,20200817-0430
https://slate.com/news-and-politics/2020/08/ed-markeys-incomprehensibly-thrilling-2020-election-ad.html,"The Most Incomprehensibly Thrilling Ad of the 2020 Election So Far
      

          Lili Loofbourow",,20200817-0430
https://slate.com/human-interest/2020/08/secession-disunion-america-kreitner.html,"Why America Was Built to Fall Apart
      

          Rebecca Onion",,20200817-0430
https://slate.com/news-and-politics/2020/08/robert-trump-president-donald-younger-brother-dies.html,"Robert Trump, Donald Trump’s Younger Brother, Dies at 71
      

          Daniel Politi",,20200817-0430
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0430
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0430
https://slate.com/news-and-politics/2020/08/kamala-harris-birther-birthright-citizenship-claremont.html,"The Racist “Scholars” Pushing the Kamala Harris Birther Lie
      

          Mark Joseph Stern",,20200817-0430
https://slate.com/human-interest/2020/08/how-to-help-marginalized-students-school-year.html,"This Year Will Be a Nightmare for Marginalized Students
      

          Brandon Hersey",,20200817-0430
https://slate.com/human-interest/2020/08/daughter-sees-no-friends-care-and-feeding.html,"My Child Has Not Seen Any Friends in Five Months. Should I Be Worried?
      

          Care and Feeding",,20200817-0430
https://slate.com/culture/2020/08/coloring-books-history-coronavirus.html,"There’s a Sinister Reason Coloring Books Are So Popular in Quarantine
      

          Emanuele Lugli",,20200817-0430
https://slate.com/news-and-politics/2020/08/trump-coronavirus-deaths-timeline.html,"How Trump Killed Tens of Thousands of Americans
      

          William Saletan",,20200817-0430
https://slate.com/culture/2020/08/night-they-drove-old-dixie-down-band-confederate.html,"Is “The Night They Drove Old Dixie Down” Really a Pro-Confederate Anthem?
      

          Jack Hamilton",,20200817-0430
https://slate.com/news-and-politics/2020/08/trump-military-civil-military-coup.html,"It’s Not the Military’s Job to Remove Trump From Office if He Won’t Leave
      

          Fred Kaplan",,20200817-0430
https://slate.com/news-and-politics/2020/08/dnc-convention-2020-joe-biden-kamala-harris.html,"What to Watch for at the Bizarro Democratic National Convention
      

          Jim Newell",,20200817-0500
https://slate.com/news-and-politics/2020/08/democrats-postal-leaders-urgent-hearing.html,"Democrats Demand Postal Leaders Explain Mail Delays at Urgent Hearing
      

          Daniel Politi",,20200817-0500
https://slate.com/news-and-politics/2020/08/wisconsin-dnc-voter-suppression.html,"The Most Important Thing Democrats Could Do for Wisconsin Isn’t a Convention
      

          Mark Joseph Stern",,20200817-0500
https://slate.com/news-and-politics/2020/08/ed-markeys-incomprehensibly-thrilling-2020-election-ad.html,"The Most Incomprehensibly Thrilling Ad of the 2020 Election So Far
      

          Lili Loofbourow",,20200817-0500
https://slate.com/human-interest/2020/08/secession-disunion-america-kreitner.html,"Why America Was Built to Fall Apart
      

          Rebecca Onion",,20200817-0500
https://slate.com/news-and-politics/2020/08/robert-trump-president-donald-younger-brother-dies.html,"Robert Trump, Donald Trump’s Younger Brother, Dies at 71
      

          Daniel Politi",,20200817-0500
https://slate.com/news-and-politics/2020/08/poll-majority-biden-voters-support-against-trump.html,"Almost 60 Percent of Biden Voters Say Support Is More Against Trump Than For Biden
      

          Daniel Politi",,20200817-0500
https://slate.com/news-and-politics/2020/08/trump-declines-refute-false-kamala-harris-birther-smears.html,"Trump Declines to Refute False Kamala Harris Birther Smears
      

          Daniel Politi",,20200817-0500
